Moonlight,"{""Principal Cast"": {""Alex R. Hibbert"": ""Little"", ""Ashton Sanders"": ""Chiron"", ""Duan Sanderson"": ""Azu"", ""Herman 'Caheei McGloun"": ""Longshoreman"", ""Jaden Piner"": ""Kevin (9)"", ""Janelle Mon\u00e1e"": ""Teresa"", ""Mahershala Ali"": ""Juan"", ""Naomie Harris"": ""Paula"", ""Shariff Earp"": ""Terrence""}, ""Cast"": {""Alex R. Hibbert"": ""Little"", ""Andre Holland"": ""Kevin"", ""Ashton Sanders"": ""Chiron"", ""Duan 'Sandy' Sanderson"": ""Azu"", ""Duan Sanderson"": ""Azu"", ""Duan'Sandy' Sanderson"": ""Azu"", ""Eddie Blanchard"": ""Portable Boy 3"", ""Edson Jean"": ""Mr. Pierce"", ""Herman 'Caheei McGloun"": ""Longshoreman"", ""Jaden Piner"": ""Kevin (9)"", ""Janelle Mon\u00e1e"": ""Theresa"", ""Jharrel Jerome"": ""Teen Kevin"", ""Kamal Ani-Bellow"": ""Portable Boy 1"", ""Keomi Givens"": ""Portable Boy 2"", ""Larry Anderson"": ""Antwon"", ""Mahershala Ali"": ""Juan"", ""Naomie Harris"": ""Paula"", ""Patrick Decile"": ""Terrel"", ""Rudi Goblen"": ""Gee"", ""Rudi Goblin"": ""Gee"", ""Shariff Earp"": ""Terrence"", ""Stephon Bron"": ""Travis"", ""Tanisha Cidel"": ""Principal Williams"", ""Trevante Rhodes"": ""Black/Chiron""}}","""Drama"""
Intolerance,"{""Principal Cast"": {""Lillian Gish"": ""The Woman Who Rocks The Cradle/Eternal Mother""}, ""Cast"": {""Dore Davidson"": ""The Friendly Neighbor"", ""Edward Dillon"": ""Crook"", ""Elmer Clifton"": ""The Rhapsode"", ""Frank Bennett"": ""Charles IX"", ""Josephine Crowell"": ""Catherine De M"", ""Lucille Browne"": ""Uplifter"", ""Mary Alden"": ""Uplifter"", ""Miriam Cooper"": ""The Friendless One"", ""Monte Blue"": ""The Strike Leader"", ""Pearl Elmore"": ""Uplifter"", ""Sam De Grasse"": ""Arthur Jenkins"", ""Spottiswoode Aitken"": ""Brown Eyes's Father"", ""Taylor N. Duncan"": ""Captain Of The Gateg/Bodyguard Of The Princess Beloved"", ""William H. Brown"": ""Father Of The Bride Of Cana/Warden""}}","""Drama,History"""
Pinocchio,"{""Principal Cast"": {""Charles Judels"": ""Stromboli/The Coachman"", ""Cliff Edwards"": ""Jiminy Cricket"", ""Dickie Jones"": ""Pinocchio/Alexander"", ""Don Brodie"": ""Carnival Barker"", ""Frankie Darro"": ""Lampwick"", ""Marion Darlington"": ""Birds"", ""Mel Blanc"": ""Gideon (Hiccup)/Marionette Soldiers"", ""Stuart Buchanan"": ""Carnival Barker"", ""Walter Catlett"": ""J. Worthington Foulfellow""}, ""Cast"": {""Clarence Nash"": ""Figaro/Roughhouse Statue/Donkeys"", ""Jack Mercer"": ""Russian Puppets"", ""John McLeish"": ""Carnival Barker"", ""Mae Questel"": ""Puppets"", ""Patricia Page"": ""Marionettes"", ""Thurl Ravenscroft"": ""Monstro""}}","""Fantasy,Comedy,Animation,Family,Musical"""
Touch of Evil,"{""Principal Cast"": {""Akim Tamiroff"": ""'Uncle' Joe Grandi"", ""Charlton Heston"": ""Mike Vargas"", ""Dennis Weaver"": ""Mirador Motel Night Manager"", ""Janet Leigh"": ""Susan Vargas"", ""Joanna Moore"": ""Marcia Linnekar"", ""Joseph Calleia"": ""Police Sergeant Pete Menzies"", ""Mort Mills"": ""Al Schwartz"", ""Orson Welles"": ""Police Captain Hank Quinlan"", ""Ray Collins"": ""District Attorney Adair"", ""Valentin de Vargas"": ""Pancho""}, ""Cast"": {""Joi Lansing"": ""Zita"", ""Lalo Rios"": ""Risto"", ""Michael Sargent"": ""Pretty Boy"", ""Phil Harvey"": ""Blaine"", ""Victor Millan"": ""Manelo Sanchez""}}","""Drama,Thriller,Crime,Film-Noir"""
The Lady Vanishes,"{""Principal Cast"": {""Basil Radford"": ""Charters"", ""Cecil Parker"": ""Mr. Todhunter"", ""Dame May Whitty"": ""Miss Froy"", ""Emile Boreo"": ""Hotel Manager"", ""Linden Travers"": ""'Mrs.' Todhunter"", ""Margaret Lockwood"": ""Iris Matilda Henderson"", ""Mary Clare"": ""Baroness Athona"", ""Michael Redgrave"": ""Gilbert Redman"", ""Naunton Wayne"": ""Caldicott"", ""Paul Lukas"": ""Dr. Egon Hartz""}, ""Cast"": {""Catherine Lacey"": ""The Nun"", ""Googie Withers"": ""Blanche"", ""Philip Leaver"": ""Signor Doppo"", ""Sally Stewart"": ""Julie"", ""Selma Vaz Dias"": ""Signora Doppo""}}","""Mystery,Thriller"""
The Treasure of the Sierra Madre,"{""Principal Cast"": {""Alfonso Bedoya"": ""Gold Hat"", ""Arturo Soto Rangel"": ""Presidente"", ""Barton MacLane"": ""McCormick"", ""Bruce Bennett"": ""Cody"", ""Humphrey Bogart"": ""Dobbs"", ""Jos\u00e9 Torvay"": ""Pablo"", ""Manuel Dond\u00e9"": ""El Jefe"", ""Margarito Luna"": ""Pancho"", ""Tim Holt"": ""Curtin"", ""Walter Huston"": ""Howard""}, ""Cast"": {""Guillermo Calles"": ""Mexican Storeowner"", ""Jacqueline Dalya"": ""Flashy Girl"", ""Robert Blake"": ""Mexican Boy Selling Lottery Tickets"", ""Roberto Ca\u00f1edo"": ""Mexican Lieutenant"", ""Spencer Chan"": ""Proprietor""}}","""Adventure,Drama,Western"""
Pan's Labyrinth,"{""Principal Cast"": {""Ariadna Gil"": ""Carmen Vidal"", ""Ivana Baquero"": ""Ofelia"", ""Sergi L\u00f3pez"": ""Vidal""}, ""Cast"": {""\u00c1lex Angulo"": ""Doctor"", ""C\u00e9sar Vea"": ""Serrano"", ""Doug Jones"": ""Fauno/Pale Man"", ""Eusebio L\u00e1zaro"": ""Padre"", ""Francisco Vidal"": ""Sacerdote"", ""Gonzalo Uriarte"": ""Franc\u00e9s"", ""Ivan Massagu\u00e9"": ""El Tarta"", ""Juanjo Cucal\u00f3n"": ""Alcalde"", ""Lina Mira"": ""Esposa Del Alcalde"", ""Manolo Solo"": ""Garc\u00e9s"", ""Maribel Verd\u00fa"": ""Mercedes"", ""Roger Casamajor"": ""Pedro""}}","""Drama,Mystery,Thriller,Fantasy,War"""
Some Like It Hot,"{""Principal Cast"": {""Billy Gray"": ""Sig Poliakoff"", ""George E. Stone"": ""Toothpick Charlie"", ""George Raft"": ""Spats Colombo"", ""Jack Lemmon"": ""Jerry/Daphne"", ""Joan Shawlee"": ""Sweet Sue"", ""Joe E. Brown"": ""Osgood Fielding III"", ""Marilyn Monroe"": ""Sugar Kane Kowalczyk"", ""Nehemiah Persoff"": ""Little Bonaparte"", ""Pat O'Brien"": ""Detective Mulligan"", ""Tony Curtis"": ""Joe/Josephine/Shell Oil Junior""}, ""Cast"": {""Barbara Drew"": ""Nellie"", ""Beverly Wills"": ""Dolores"", ""Dave Barry"": ""Beinstock"", ""Harry Wilson"": ""Spats' Henchman"", ""Mike Mazurki"": ""Spats' Henchman""}}","""Comedy,Romance"""
North by Northwest,"{""Principal Cast"": {""Adam Williams"": ""Valerian"", ""Cary Grant"": ""Roger O. Thornhill"", ""Edward Platt"": ""Victor Larrabee"", ""Eva Marie Saint"": ""Eve Kendall"", ""James Mason"": ""Phillip Vandamm"", ""Jessie Royce Landis"": ""Clara Thornhill"", ""Josephine Hutchinson"": ""Mrs. Townsend"", ""Leo G. Carroll"": ""The Professor"", ""Martin Landau"": ""Leonard"", ""Philip Ober"": ""Lester Townsend""}, ""Cast"": {""Edward Binns"": ""Captain Junket"", ""Les Tremayne"": ""Auctioneer"", ""Patrick McVey"": ""Sergeant Flamm"", ""Philip Coolidge"": ""Dr. Cross"", ""Robert Ellenstein"": ""Licht""}}","""Action,Adventure,Mystery,Thriller"""
Hoop Dreams,"{""Principal Cast"": {""Arthur Agee"": ""Himself"", ""William Gates"": ""Himself""}, ""Cast"": {""Aretha Mitchell"": ""Herself - High School Guidance Counselor"", ""Arthur 'Bo' Agee"": ""Himself - Arthur's Father"", ""Bill Gleason"": ""Himself - Television Reporter"", ""Curtis Gates"": ""Himself - William's Brother"", ""Earl Smith"": ""Himself - Talent Scout"", ""Emma Gates"": ""Herself - William's Mother"", ""Gene Pingatore"": ""Himself - High School Basketball Coach"", ""Isiah Thomas"": ""Himself - Professional Basketball Player"", ""Luther Bedford"": ""Himself - High School Basketball Coach"", ""Marjorie Heard"": ""Herself - High School Guidance Counselor"", ""Marlyn Hopewell"": ""Herself - High School Guidance Counselor"", ""Patricia Weir"": ""Herself - President: Encyclopedia Brittanica"", ""Sheila Agee"": ""Herself - Arthur's Mother""}}","""Drama,Sport,Documentary"""
